place_of_svc_cd|place_of_svc_nm|place_of_svc_desc
07|TRIBAL 638 FREE-STANDING FACILITY|A FACILITY OR LOCATION OWNED AND OPERATED BY A FEDERALLY RECOGNIZED AMERICAN INDIAN OR ALASKA NATIVE TRIBE OR TRIBAL ORGANIZATION UNDER A 638 AGREEMENT, WHICH PROVIDES DIAGNOSTIC, THERAPEUTIC (SURGICAL AND NON-SURGICAL), AND REHABILITATION SERVICES TO TRIBAL MEMBERS WHO DO NOT REQUIRE HOSPITALIZATION.
11|OFFICE|LOCATION, OTHER THAN A HOSPITAL, SKILLED NURSING FACILITY (SNF), MILITARY TREATMENT FACILITY, COMMUNITY HEALTH CENTER, STATE OR LOCAL PUBLIC HEALTH CLINIC, OR INTERMEDIATE CARE FACILITY (ICF), WHERE THE HEALTH PROFESSIONAL ROUTINELY PROVIDES HEALTH EXAMINATIONS, DIAGNOSIS, AND TREATMENT OF ILLNESS OR INJURY ON AN AMBULATORY BASIS.
32|NURSING FACILITY|A FACILITY WHICH PRIMARILY PROVIDES TO RESIDENTS SKILLED NURSING CARE AND RELATED SERVICES FOR THE REHABILITATION OF INJURED, DISABLED, OR SICK PERSONS, OR, ON A REGULAR BASIS, HEALTH-RELATED CARE SERVICES ABOVE THE LEVEL OF CUSTODIAL CARE TO OTHER THAN INDIVIDUALS WITH INTELLECTUAL DISABILITIES.
20|URGENT CARE FACILITY|LOCATION, DISTINCT FROM A HOSPITAL EMERGENCY ROOM, AN OFFICE, OR A CLINIC, WHOSE PURPOSE IS TO DIAGNOSE AND TREAT ILLNESS OR INJURY FOR UNSCHEDULED, AMBULATORY PATIENTS SEEKING IMMEDIATE MEDICAL ATTENTION.
22|ON CAMPUS-OUTPATIENT HOSPITAL|A PORTION OF A HOSPITAL'S MAIN CAMPUS WHICH PROVIDES DIAGNOSTIC, THERAPEUTIC (BOTH SURGICAL AND NONSURGICAL), AND REHABILITATION SERVICES TO SICK OR INJURED PERSONS WHO DO NOT REQUIRE HOSPITALIZATION OR INSTITUTIONALIZATION.
19|OFF CAMPUS-OUTPATIENT HOSPITAL|A PORTION OF AN OFF-CAMPUS HOSPITAL PROVIDER BASED DEPARTMENT WHICH PROVIDES DIAGNOSTIC, THERAPEUTIC (BOTH SURGICAL AND NONSURGICAL), AND REHABILITATION SERVICES TO SICK OR INJURED PERSONS WHO DO NOT REQUIRE HOSPITALIZATION OR INSTITUTIONALIZATION.
54|INTERMEDIATE CARE FACILITY/ INDIVIDUALS WITH INTELLECTUAL DISABILITIES|A FACILITY WHICH PRIMARILY PROVIDES HEALTH-RELATED CARE AND SERVICES ABOVE THE LEVEL OF CUSTODIAL CARE TO INDIVIDUALS BUT DOES NOT PROVIDE THE LEVEL OF CARE OR TREATMENT AVAILABLE IN A HOSPITAL OR SNF.
21|INPATIENT HOSPITAL|A FACILITY, OTHER THAN PSYCHIATRIC, WHICH PRIMARILY PROVIDES DIAGNOSTIC, THERAPEUTIC (BOTH SURGICAL AND NONSURGICAL), AND REHABILITATION SERVICES BY, OR UNDER, THE SUPERVISION OF PHYSICIANS TO PATIENTS ADMITTED FOR A VARIETY OF MEDICAL CONDITIONS.
26|MILITARY TREATMENT FACILITY|A MEDICAL FACILITY OPERATED BY ONE OR MORE OF THE UNIFORMED SERVICES. MILITARY TREATMENT FACILITY (MTF) ALSO REFERS TO CERTAIN FORMER U.S. PUBLIC HEALTH SERVICE (USPHS) FACILITIES NOW DESIGNATED AS UNIFORMED SERVICE TREATMENT FACILITIES (USTF).
09|PRISON/CORRECTIONAL FACILITY|A PRISON, JAIL, REFORMATORY, WORK FARM, DETENTION CENTER, OR ANY OTHER SIMILAR FACILITY MAINTAINED BY EITHER FEDERAL, STATE OR LOCAL AUTHORITIES FOR THE PURPOSE OF CONFINEMENT OR REHABILITATION OF ADULT OR JUVENILE CRIMINAL OFFENDERS.
31|SKILLED NURSING FACILITY|A FACILITY WHICH PRIMARILY PROVIDES INPATIENT SKILLED NURSING CARE AND RELATED SERVICES TO PATIENTS WHO REQUIRE MEDICAL, NURSING, OR REHABILITATIVE SERVICES BUT DOES NOT PROVIDE THE LEVEL OF CARE OR TREATMENT AVAILABLE IN A HOSPITAL.
38|UNASSIGNED|UNASSIGNED
60|MASS IMMUNIZATION CENTER|A LOCATION WHERE PROVIDERS ADMINISTER PNEUMOCOCCAL PNEUMONIA AND INFLUENZA VIRUS VACCINATIONS AND SUBMIT THESE SERVICES AS ELECTRONIC MEDIA CLAIMS, PAPER CLAIMS, OR USING THE ROSTER BILLING METHOD. THIS GENERALLY TAKES PLACE IN A MASS IMMUNIZATION SETTING, SUCH AS, A PUBLIC HEALTH CENTER, PHARMACY, OR MALL BUT MAY INCLUDE A PHYSICIAN OFFICE SETTING.
80|UNASSIGNED|UNASSIGNED
34|HOSPICE|A FACILITY, OTHER THAN A PATIENT'S HOME, IN WHICH PALLIATIVE AND SUPPORTIVE CARE FOR TERMINALLY ILL PATIENTS AND THEIR FAMILIES ARE PROVIDED.
49|INDEPENDENT CLINIC|A LOCATION, NOT PART OF A HOSPITAL AND NOT DESCRIBED BY ANY OTHER PLACE OF SERVICE CODE, THAT IS ORGANIZED AND OPERATED TO PROVIDE PREVENTIVE, DIAGNOSTIC, THERAPEUTIC, REHABILITATIVE, OR PALLIATIVE SERVICES TO OUTPATIENTS ONLY.
25|BIRTHING CENTER|A FACILITY, OTHER THAN A HOSPITAL'S MATERNITY FACILITIES OR A PHYSICIAN'S OFFICE, WHICH PROVIDES A SETTING FOR LABOR, DELIVERY, AND IMMEDIATE POST-PARTUM CARE AS WELL AS IMMEDIATE CARE OF NEW BORN INFANTS.
06|INDIAN HEALTH SERVICE PROVIDER-BASED FACILITY|A FACILITY OR LOCATION, OWNED AND OPERATED BY THE INDIAN HEALTH SERVICE, WHICH PROVIDES DIAGNOSTIC, THERAPEUTIC (SURGICAL AND NON-SURGICAL), AND REHABILITATION SERVICES RENDERED BY, OR UNDER THE SUPERVISION OF, PHYSICIANS TO AMERICAN INDIANS AND ALASKA NATIVES ADMITTED AS INPATIENTS OR OUTPATIENTS.
28|UNASSIGNED|UNASSIGNED
14|GROUP HOME|A RESIDENCE, WITH SHARED LIVING AREAS, WHERE CLIENTS RECEIVE SUPERVISION AND OTHER SERVICES SUCH AS SOCIAL AND/OR BEHAVIORAL SERVICES, CUSTODIAL SERVICE, AND MINIMAL SERVICES (E.G., MEDICATION ADMINISTRATION).
52|PSYCHIATRIC FACILITY-PARTIAL HOSPITALIZATION|A FACILITY FOR THE DIAGNOSIS AND TREATMENT OF MENTAL ILLNESS THAT PROVIDES A PLANNED THERAPEUTIC PROGRAM FOR PATIENTS WHO DO NOT REQUIRE FULL TIME HOSPITALIZATION, BUT WHO NEED BROADER PROGRAMS THAN ARE POSSIBLE FROM OUTPATIENT VISITS TO A HOSPITAL-BASED OR HOSPITAL-AFFILIATED FACILITY.
93|UNASSIGNED|UNASSIGNED
65|END-STAGE RENAL DISEASE TREATMENT FACILITY|A FACILITY OTHER THAN A HOSPITAL, WHICH PROVIDES DIALYSIS TREATMENT, MAINTENANCE, AND/OR TRAINING TO PATIENTS OR CAREGIVERS ON AN AMBULATORY OR HOME-CARE BASIS.
